,X,Y,Angle,Grand Prix,Straight_Line
165,-5095.115101998679,-1607.5453640208686,87.62,Azerbaijan Grand Prix,473
166,-5948.182305826048,-1911.315582696359,,Azerbaijan Grand Prix,473
167,-7197.58940350266,-2478.704253957343,,Azerbaijan Grand Prix,591
168,-7878.914938745514,-2925.658966457433,15.92,Azerbaijan Grand Prix,591
169,-7806.4109512867,-3510.2547001081093,18.01,Azerbaijan Grand Prix,8871
170,-8395.923398020654,-3924.970355884145,14.77,Azerbaijan Grand Prix,8871
171,-9465.85722424979,-4659.981653410026,,Azerbaijan Grand Prix,8871
172,-10570.7388378292,-5412.187489583984,,Azerbaijan Grand Prix,8871
173,-11018.850459616951,-5670.088583840581,21.09,Azerbaijan Grand Prix,8871
174,-11279.690860155431,-5239.8476217659245,,Azerbaijan Grand Prix,8871
175,-11490.012836580074,-4380.66273698685,,Azerbaijan Grand Prix,8871
176,-11746.01996411707,-3705.33885124738,23.58,Azerbaijan Grand Prix,8871
177,-12542.441190584035,-3482.351788768746,51.27,Azerbaijan Grand Prix,
178,-12724.869374215368,-3027.180438816914,61.1,Azerbaijan Grand Prix,
179,-13344.294104642837,-2942.6464022703217,,Azerbaijan Grand Prix,2364
180,-14225.741623093276,-3252.9402504490463,,Azerbaijan Grand Prix,2364
181,-15531.01539239376,-3835.425775742251,,Azerbaijan Grand Prix,2364
182,-16807.664045076115,-5037.258217309847,47.19,Azerbaijan Grand Prix,591
183,-17276.34910823926,-7311.846380377561,31.54,Azerbaijan Grand Prix,710
184,-17338.319126797047,-8475.197452410397,65.9,Azerbaijan Grand Prix,710
185,-17078.228415110523,-8843.314039505298,,Azerbaijan Grand Prix,2247
186,-16256.838583471132,-9315.949992940295,,Azerbaijan Grand Prix,2247
187,-15249.30333574458,-9943.540404425845,,Azerbaijan Grand Prix,2247
188,-14292.788747542,-10398.223637628533,86.74,Azerbaijan Grand Prix,
189,-13794.089380219611,-9786.485179599082,,Azerbaijan Grand Prix,591
190,-13282.14901596776,-8922.093449276723,19.77,Azerbaijan Grand Prix,591
191,-12438.288801751412,-8106.139443916899,,Azerbaijan Grand Prix,0
192,-11051.13749825271,-6305.269303900733,11.39,Azerbaijan Grand Prix,355
193,-10041.367625666486,-5170.561498156362,,Azerbaijan Grand Prix,2011
194,-8835.484406672693,-4344.54051649236,,Azerbaijan Grand Prix,2011
195,-7529.664666416504,-3617.8859865007953,,Azerbaijan Grand Prix,
196,-5800.086509490087,-3021.587907447192,,Azerbaijan Grand Prix,
197,-4173.205940408524,-2435.92963341288,,Azerbaijan Grand Prix,
198,-2646.127496113897,-1882.0917284526795,,Azerbaijan Grand Prix,
199,-651.0355403198043,-1225.6070843628884,,Azerbaijan Grand Prix,
200,1975.3990759756716,109.00683755831076,,Miami Grand Prix,0
201,3388.5695477342506,-702.1683702418503,,Miami Grand Prix,2775
202,4564.747937373775,-1288.4775000914346,,Miami Grand Prix,2775
203,5075.116270767649,-1719.9287305552707,97.53,Miami Grand Prix,
204,4852.220443445124,-2127.956242081402,,Miami Grand Prix,
205,4513.182741336889,-2763.1754456239014,20.62,Miami Grand Prix,
206,4285.4708681975735,-3663.6710329708826,56.47,Miami Grand Prix,
207,3410.22982188585,-4130.500885113137,,Miami Grand Prix,
