,TeamId,Grand Prix,Saison
395,alfa,São Paulo Grand Prix,2023
396,alfa,São Paulo Grand Prix,2023
397,haas,São Paulo Grand Prix,2023
398,williams,São Paulo Grand Prix,2023
399,ferrari,São Paulo Grand Prix,2023
400,red_bull,Las Vegas Grand Prix,2023
401,ferrari,Las Vegas Grand Prix,2023
402,red_bull,Las Vegas Grand Prix,2023
403,alpine,Las Vegas Grand Prix,2023
404,aston_martin,Las Vegas Grand Prix,2023
405,ferrari,Las Vegas Grand Prix,2023
406,mercedes,Las Vegas Grand Prix,2023
407,mercedes,Las Vegas Grand Prix,2023
408,aston_martin,Las Vegas Grand Prix,2023
409,mclaren,Las Vegas Grand Prix,2023
410,alpine,Las Vegas Grand Prix,2023
411,williams,Las Vegas Grand Prix,2023
412,haas,Las Vegas Grand Prix,2023
413,alphatauri,Las Vegas Grand Prix,2023
414,alfa,Las Vegas Grand Prix,2023
415,williams,Las Vegas Grand Prix,2023
416,alfa,Las Vegas Grand Prix,2023
417,alphatauri,Las Vegas Grand Prix,2023
418,haas,Las Vegas Grand Prix,2023
419,mclaren,Las Vegas Grand Prix,2023
420,red_bull,Abu Dhabi Grand Prix,2023
421,ferrari,Abu Dhabi Grand Prix,2023
422,mercedes,Abu Dhabi Grand Prix,2023
423,red_bull,Abu Dhabi Grand Prix,2023
424,mclaren,Abu Dhabi Grand Prix,2023
425,mclaren,Abu Dhabi Grand Prix,2023
426,aston_martin,Abu Dhabi Grand Prix,2023
427,alphatauri,Abu Dhabi Grand Prix,2023
428,mercedes,Abu Dhabi Grand Prix,2023
429,aston_martin,Abu Dhabi Grand Prix,2023
430,alphatauri,Abu Dhabi Grand Prix,2023
431,alpine,Abu Dhabi Grand Prix,2023
432,alpine,Abu Dhabi Grand Prix,2023
433,williams,Abu Dhabi Grand Prix,2023
434,haas,Abu Dhabi Grand Prix,2023
435,williams,Abu Dhabi Grand Prix,2023
436,alfa,Abu Dhabi Grand Prix,2023
437,ferrari,Abu Dhabi Grand Prix,2023
438,alfa,Abu Dhabi Grand Prix,2023
439,haas,Abu Dhabi Grand Prix,2023
